,,,,
Question,Réponses,Identifiant Question,Condition,Pré-remplissage
Par où veux-tu commencer ?,"Je n'y connais pas grand chose, fais moi une simulation simple
Je m'y connais un peu mais guide moi
Je souhaite tout personnaliser",profil,,
Loisir / compétition ?,"Loisir, Compétition",pratique,,
Quel est ton budget ?,"Economique, Premium, Personnalisé",budget,pratique=competition,profil(noob)=economique
Quel catégorie ?,"Mini 60 (8-12 ans) - à venir, Nationale (12-17 ans) - à venir, Senior (14 ans +), Master (32 ans+), KZ2 - à venir",categorie,,selon âge
"Quel ""périmètre"" ?","Régional, National (à venir), International (à venir)",perimetre,,budget(economique)=régional
Combien de sprint par mois ?,Composant moderne pour le choix,nb_courses_loisir,pratique=loisir,
Combien d'endurance par mois ?,"Composant pour sélectionner la durée de l'endurance (2H, 4h, 6H, 12H, 24H) + le nombre associé",,pratique=loisir,
Combien de courses ?,"Combien pour les courses clubs, combien pour la ligue (4 par défaut)",nb_courses_regional,"pratique=competition,
perimetre=regional",
Souhaites-tu rejoindre un team ?,"Oui, Non",team,"pratique=competition,
budget=premium, personnalisé",
As-tu déjà un karting ?,"Oui, Non",karting,"pratique=competition,
team=non",
Prévois-tu une révision moteur cette année ?,"Oui, Non",revision,"pratique=competition,
karting=oui",karting(non)=non
Comment vas-tu transporter ton matériel ?,"Location véhicule, Achat remorque, Achat plateau, j'ai déjà ce qu'il faut",,"pratique=competition,
team=non",
Où vas-tu stocker ton karting ?,Gardiennage dans un box sur circuit / Je le garde chez moi,,"pratique=competition,
team=non",
As-tu déjà un chariot ?,"Oui, Non",,"pratique=competition,
team=non",
As-tu déjà tous les outils ?,"Oui, Non",,"pratique=competition,
team=non",
As-tu une préférence pour la marque du chassis ?,"Sodikart, CRG, Tony Kart",chassis_marque,"pratique=competition,
karting=non",
As-tu déjà un casque ?,"Oui, Non",,,
As-tu déjà une combinaison ?,"Oui, Non",,,
As-tu déjà des gants ?,"Oui, Non",,,
As-tu déjà un manomètre ?,"Oui, Non",,pratique=competition,
As-tu déjà un gonfleur ?,"Oui, Non",,pratique=competition,
Qui s'occupe de ta mécanique les jours de course ?,Je fais tout moi-même / J'ai un ami mécano (bénévole) / Je paie un mécanicien officiel,,,
Prévois-tu de dormir sur place lors des week-ends de courses ?,Oui à l'hôtel / Non je rentre chez moi / Je dors dans le paddock (camion / tente),,,
